resourcecollection,Recursion Class Problems,Recursion & Backtracking,US/Pacific,2023-01-08,14:25:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Recursion Material,Recursion & Backtracking,US/Pacific,2023-01-08,14:30:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
test,Recursion Timed Test,Recursion & Backtracking,US/Pacific,2023-01-12,18:00:00,2023-01-12,19:00:00,Remote Only,Attempt Timed Test,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Recursion Test Review Class,Recursion & Backtracking,US/Pacific,2023-01-12,19:00:00,2023-01-12,20:00:00,Remote Only,Attend Test Class,enabled,Test Review Class Feedback,<p><br></p>,On Scheduled Date,,,Alternative Class - Recursion Test Review with Joey;Alternative Class - Recursion Test Review with Ganesh;Alternative Class - Recursion Test Review with Shashi Bhushan,,US/Pacific,CGRNT2
feedbacktemplate,Test Review Class Feedback,Recursion & Backtracking,US/Pacific,2023-01-12,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Trees Foundation - New,Trees and its Variants,US/Pacific,2023-01-12,20:05:00,,,Remote Only,Complete the Foundation Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Trees Class,Trees and its Variants,US/Pacific,2023-01-15,8:45:00,2023-01-15,14:15:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Trees with Omkar  Deshpande;Alternative Class - Trees Slides by Omkar Deshpande;Alternative Class - Trees Slides by Andrei Anashkin;Alternative Class - Trees Slides by Tom Gilmour;Alternative Class - Trees with Andrei Anashkin;Alternative Class - Trees with Tom Gilmour,,US/Pacific,CGTS03
feedbacktemplate,Class Feedback (Mandatory),Trees and its Variants,US/Pacific,2023-01-15,14:15:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Trees Practice - Problem Set 1 - New,Trees and its Variants,US/Pacific,2023-01-15,14:20:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Trees Class Problems,Trees and its Variants,US/Pacific,2023-01-15,14:25:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Trees Material,Trees and its Variants,US/Pacific,2023-01-15,14:30:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
test,Trees Timed Test,Trees and its Variants,US/Pacific,2023-01-19,18:00:00,2023-01-19,19:00:00,Remote Only,Attempt Timed Test,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Trees Test Review Class,Trees and its Variants,US/Pacific,2023-01-19,19:00:00,2023-01-19,20:00:00,Remote Only,Attend Test Class,enabled,Test Review Class Feedback,<p><br></p>,On Scheduled Date,,,Alternative Class - Trees Test Review with Tom;Alternative Class - Trees Test Review with Shashi Bhushan;Alternative Class - Trees Test Review with Shashi C,,US/Pacific,CGTST3
feedbacktemplate,Test Review Class Feedback,Trees and its Variants,US/Pacific,2023-01-19,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
